Housing Units,zipcode,Water Area,Median Home Value,Median Household Income,Population Density,Occupied Housing Units,Population,id,Land Area
8102,75001,0,258200,57633,3237,7088,12414,750,3.83
21373,75002,2.06,186100,91632,1699,20708,63140,750,37.16
17747,75006,0.25,146800,56985,2746,16631,46364,750,16.89
19296,75007,0.22,169400,78934,4433,18514,51624,750,11.65
3074,75009,1.57,190500,87581,92,2812,8785,750,95.42
8830,75010,0.1,200800,75696,2678,8339,21607,750,8.07
10517,75013,0.07,292300,131878,2026,10057,30347,750,14.98
14346,75019,1.8,281500,110445,2347,13808,38666,750,16.47
10085,75020,4.8,87900,40999,350,8814,21872,750,62.57
3489,75021,0.07,87800,40000,133,3149,8036,750,60.26
7149,75022,2.08,333700,145938,1174,6948,22545,750,19.21
18498,75023,0.01,173900,74777,4824,17801,45452,750,9.42
16253,75024,0.12,289300,88707,2852,15370,36039,750,12.64
18697,75025,0.05,253700,104168,5461,18134,50926,750,9.33
14476,75028,0.07,234700,111391,2788,14126,42226,750,15.15
9850,75032,8.37,211300,93308,545,9306,27986,750,51.31
26706,75034,3.96,285900,111318,1454,24900,72723,750,50.01
16739,75035,0.1,212800,102913,2011,16064,47553,750,23.64
13907,75038,0.04,171100,48130,2079,12453,27802,750,13.37
7793,75039,0.35,389600,73503,2103,6470,11032,750,5.25
19195,75040,0.01,113000,54664,3795,18164,59406,750,15.65
10380,75041,0,97300,40136,3837,9642,30700,750,8
12321,75042,0,99200,39811,5063,11545,37881,750,7.48
22920,75043,5.22,120900,55149,3999,21137,58094,750,14.53
16026,75044,0.07,136000,64302,3800,15215,40811,750,10.74
6972,75048,0.13,181500,87171,1939,6660,20328,750,10.48
16470,75050,0.26,104400,44548,1659,14954,41041,750,24.73
13862,75051,2.44,95400,40107,3240,12651,39285,750,12.12
29926,75052,1.91,134300,66744,3402,28598,88996,750,26.16
1690,75054,0.97,224600,105000,930,1546,5053,750,5.43
18126,75056,6.2,167500,79251,1895,16999,47852,750,25.25
5249,75057,2.29,98000,50338,1268,4846,12900,750,10.17
1021,75058,0.56,200000,79250,52,919,2982,750,57.64
15384,75060,0.3,110000,45775,3467,14307,45980,750,13.26
20001,75061,0.03,114900,40084,4622,17976,53442,750,11.56
17955,75062,0.09,121600,45872,4052,16201,44537,750,10.99
16678,75063,0.13,278200,69114,2312,15685,35090,750,15.18
4127,75065,7.71,157500,72342,1353,3888,10748,750,7.95
25790,75067,0.1,149100,56555,4588,24262,60982,750,13.29
11990,75068,7.61,161000,85446,1273,11288,34934,750,27.45
13423,75069,0.67,176400,45907,1064,12264,34108,750,32.05
27329,75070,0.24,197100,98524,3123,25584,74734,750,23.93
12872,75071,0.87,174700,80291,458,11713,36090,750,78.8
16019,75074,0.04,145400,54518,2702,15170,44622,750,16.52
13764,75075,0.01,180800,72852,3375,13132,33262,750,9.85
4448,75076,8.93,120300,52543,148,3209,7378,750,49.75
13213,75077,1.37,211100,99629,2532,12776,35330,750,13.95
3849,75078,0.27,341600,119529,324,3356,10592,750,32.73
18849,75080,0.02,183400,60440,3850,17869,44009,750,11.43
13893,75081,0,162300,63470,3702,13160,34156,750,9.23
7921,75082,0.07,254900,111726,2704,7718,21182,750,7.83
10513,75087,9.49,207500,86094,1075,10009,28145,750,26.18
8744,75088,3.17,154400,81425,2800,8430,24712,750,8.82
9821,75089,0.48,161000,86134,2730,9553,30251,750,11.08
9123,75090,0.05,76400,38216,308,8190,23724,750,77.05
10580,75092,0.41,121400,50771,202,9641,22839,750,113.33
19851,75093,0.13,350000,99225,3342,18939,47187,750,14.12
5956,75094,0.01,263300,116344,2951,5815,20579,750,6.97
16288,75098,7.86,158100,81413,1463,15553,48197,750,32.94
206,75101,0,75000,33438,785,191,646,751,0.82
555,75102,0.6,92000,40455,22,481,1322,751,60.7
5572,75103,3.25,124300,50286,64,4946,12851,751,199.45
16480,75104,0.25,132800,67691,1161,15634,45373,751,39.09
146,75105,0.75,64000,29500,6,119,301,751,51.36
1669,75109,27.38,93200,58317,31,1347,3658,751,116.29
11265,75110,1.34,82100,40235,188,10142,28132,751,149.95
1685,75114,0.44,120100,68287,108,1532,4660,751,43.25
19326,75115,0.04,142300,61729,2228,18058,48877,751,21.94
6932,75116,0.01,103000,53706,3838,6552,19669,751,5.12
1634,75117,0.33,103500,41348,79,1472,3722,751,46.9
9758,75119,9.28,110200,44808,100,8976,26601,751,264.75
2097,75124,2,92400,47500,48,1716,4446,751,93.08
2260,75125,0.8,78600,45375,96,2057,6691,751,69.67
11080,75126,0.93,157300,85677,432,10559,33396,751,77.34
653,75127,0.44,86100,45848,60,591,1593,751,26.58
153,75132,0,134900,65563,198,117,294,751,1.48
7380,75134,0.01,101500,46971,1984,6803,20276,751,10.22
2175,75135,0.09,112600,62800,95,1994,5910,751,62.17
7082,75137,0.01,126000,58895,3095,6731,18861,751,6.09
2916,75140,2.3,87700,41111,62,2592,6958,751,112.26
1164,75141,0.77,68000,34786,471,1046,5374,751,11.4
7019,75142,2.21,110700,53809,109,6313,18982,751,173.43
7381,75143,24.64,76900,40135,82,5762,14619,751,177.84
1598,75144,16.85,58300,32289,19,1278,3291,751,171.77
6929,75146,0.21,103400,59244,542,6366,17993,751,33.19
2765,75147,2.54,89100,45227,70,2493,6602,751,93.75
3250,75148,6.11,74300,34252,67,2362,5842,751,87.51
20056,75149,0.07,97400,47739,3530,18691,56065,751,15.88
23905,75150,0.01,105800,45999,4608,21997,58730,751,12.74
1638,75152,0.34,135500,54659,113,1512,4606,751,40.74
235,75153,1.26,67400,38692,26,192,605,751,23.51
12766,75154,0.03,139600,66162,767,11919,36041,751,47.01
975,75155,0.62,64500,37375,68,804,2579,751,38.05
8847,75156,16.25,88100,37212,466,6043,14580,751,31.27
139,75157,0.03,55900,41042,184,120,310,751,1.68
1602,75158,1.11,111800,58466,47,1466,4139,751,87.93
5838,75159,5.14,90000,45479,307,5409,18339,751,59.81
9109,75160,0.81,100800,44594,197,8212,23627,751,119.98
2555,75161,2.64,98300,56148,54,2298,6165,751,113.95
1548,75163,6.05,153800,51800,68,1033,2285,751,33.78
260,75164,0.18,105700,56042,294,230,671,751,2.28
14560,75165,1.69,137500,59385,337,13320,37966,751,112.68
1089,75166,3.3,173700,75804,232,1032,3070,751,13.21
2808,75167,0.57,176300,76207,86,2652,8436,751,97.58
6540,75169,14.01,85900,43316,68,5566,14644,751,214.1
1398,75172,0.15,54000,39246,339,1187,3956,751,11.66
1627,75173,4.89,157000,67327,143,1471,4353,751,30.46
7772,75180,0.02,83800,37787,3007,7083,23031,751,7.66
8180,75181,0.07,144400,73879,1472,7881,25908,751,17.59
1705,75182,2.31,290300,90366,291,1631,5118,751,17.61
7702,75189,1.01,144800,73146,202,7228,22406,751,110.99
6926,75201,0,520000,67979,6514,5821,9409,752,1.44
1468,75202,0,211100,79681,2358,1150,1666,752,0.71
6456,75203,0.02,65600,28602,3324,5487,15721,752,4.73
16495,75204,0,254400,63551,10277,14547,26279,752,2.56
9985,75205,0,937100,108913,5302,9016,23061,752,4.35
22937,75206,0.02,268000,52192,8516,20176,36248,752,4.26
770,75207,0.04,0,74792,2505,585,9648,752,3.85
10853,75208,0.01,120900,45170,5080,9807,30171,752,5.94
7076,75209,0.01,434400,79408,3862,6282,13653,752,3.53
3344,75210,0.15,54900,15258,3316,2680,7482,752,2.26
21528,75211,0.98,87800,36704,4151,19992,73146,752,17.62
7530,75212,0.1,73700,28802,2418,6796,24884,752,10.29
17269,75214,0.25,336900,69168,4553,15380,32950,752,7.24
7539,75215,0.2,56300,23433,1741,5907,14648,752,8.41
19261,75216,0.17,59700,23294,3379,16784,49416,752,14.62
23805,75217,0.97,73200,34480,2940,21625,80324,752,27.32
10842,75218,0.02,220500,65567,3100,10014,21665,752,6.99
15075,75219,0,247400,59650,10108,12384,22124,752,2.19
15382,75220,0.38,161100,35827,3701,13493,41891,752,11.32
4728,75223,0,95200,35949,4040,4217,13947,752,3.45
11084,75224,0.01,86900,33830,5825,10130,34034,752,5.84
9500,75225,0.01,824100,147153,4429,8573,20892,752,4.72
2013,75226,0,59300,42768,3130,1745,3506,752,1.12
17838,75227,0.01,86200,37720,4828,16304,55029,752,11.4
26701,75228,0.02,105300,36274,5837,23546,66551,752,11.4
11688,75229,0.03,272400,70625,2519,11038,31571,752,12.53
13735,75230,0.04,461900,68863,3717,12354,26934,752,7.25
17796,75231,0.03,253900,33546,6574,14689,37052,752,5.64
