Project ID,Project Subject Subcategory Tree,Project Title,Project Need Statement,School State,School Metro Type,School Zip,Project Grade Level Category,project_txt
0029e426fd3296af4fc333580fa895fe,"Character Education, Literature & Writing","Everyone Needs an Address, Especially Maniac Magee","My students need a class set of the book Maniac Magee by Jerry Spinelli to explore and empathize with sensitive and timely themes like loss, bullying and homelessness.",Georgia,suburban,30238,Grades 3-5,"everyone needs an address, especially maniac magee & my students need a class set of the book maniac magee by jerry spinelli to explore and empathize with sensitive and timely themes like loss, bullying and homelessness. & character education, literature & writing & georgia"
00caf6fe22a68be347548718301a75e4,"Literacy, Special Needs",Culturally and Linguistically Diverse Learners Need Resources,"My students need a set of multicultural books, a Children of the World poster and book set, people shape kit, battery chargers, rechargeable batteries, & a Leapster Kit.",California,suburban,90260,Grades PreK-2,"culturally and linguistically diverse learners need resources & my students need a set of multicultural books, a children of the world poster and book set, people shape kit, battery chargers, rechargeable batteries, & a leapster kit. & literacy, special needs & california"
02180b9e9229c81e19f57b39b4dc14e8,"Community Service, Early Development",Dressing up for Pre-k,"My students need new dramatic play clothes to keep their learning authentic, stimulating, enriching, educational, and engaging.",Texas,suburban,78660,Grades PreK-2,"dressing up for prek & my students need new dramatic play clothes to keep their learning authentic, stimulating, enriching, educational, and engaging. & community service, early development & texas"
028f0150ded49457878902f065ae5f3a,"Literacy, Literature & Writing",My Fifth Graders Want to Read These Books!,"My students need graphic novels, books in a series, and lots of great books that they want to read!",California,urban,90041,Grades 3-5,"my fifth graders want to read these books & my students need graphic novels, books in a series, and lots of great books that they want to read & literacy, literature & writing & california"
02f2f8fc72b4714f5c6b98c04edb5913,Visual Arts,Help Us Give Back!,"My students need pottery tools, scrapers, and glazes.",California,suburban,94560,Grades 9-12,"help us give back & my students need pottery tools, scrapers, and glazes. & visual arts & california"
05c6863a2087d5ef3896f182105233ff,"Literacy, Literature & Writing",Read to Lead,"My students need sight word activities including pocket chart cards and charts, Sight Word Readers, and Cut and Paste Sight Word Sentences.",Texas,urban,79902,Grades PreK-2,"read to lead & my students need sight word activities including pocket chart cards and charts, sight word readers, and cut and paste sight word sentences. & literacy, literature & writing & texas"
070cbe059b7bac81889d0fc2c0198ea1,Music,Dreaming of Drumming,My students need 37 hand drums and 33 mallets to use in music class.,Indiana,urban,46254,Grades 3-5,dreaming of drumming & my students need 37 hand drums and 33 mallets to use in music class. & music & indiana
096802305d802112fdabb528e191b6ff,Mathematics,We Need Number Sense!,"My students need number puzzles, counting activity centers, candy jar counting, place value activities,  addition activities,  write and wipe number lines to help our resource and essential skills students practice their number sense!",Indiana,suburban,46142,Grades PreK-2,"we need number sense & my students need number puzzles, counting activity centers, candy jar counting, place value activities, addition activities, write and wipe number lines to help our resource and essential skills students practice their number sense & mathematics & indiana"
0c33aa0492efe4a5c391a387172cc1e1,"Applied Sciences, Literacy",The Beavers Want to Read Non-Fiction!,My students need 89 library bound non-fiction books that are at a kindergarten reading level.,California,suburban,92026,Grades PreK-2,"the beavers want to read nonfiction & my students need 89 library bound nonfiction books that are at a kindergarten reading level. & applied sciences, literacy & california"
0eb88708849b63b7cc528d580b427b5f,"ESL, Literature & Writing",Kindergarten Readers and Writers!,"My students need to read high quality informational text, like Time for Kids, and write every day, to reach their potential and be ready for first grade! ",California,urban,95928,Grades PreK-2,"kindergarten readers and writers & my students need to read high quality informational text, like time for kids, and write every day, to reach their potential and be ready for first grade & esl, literature & writing & california"
